,night_lights,lst,ndvi,landsat0,landsat1,landsat2
2001,0.0,14857.0,-0.30750375986099243,0.0,0.0,0.0
2002,0.0,14871.0,-0.24934318661689758,7.0,11.0,0.0
2003,0.0,14890.0,-0.38598620891571045,7.0,13.0,0.0
2004,0.0,14888.0,-0.443532258272171,6.0,10.0,14.0
2005,0.0,14867.0,-0.3637927770614624,6.0,14.0,11.0
2006,0.0,14874.222222222223,-0.3698711693286896,9.0,13.0,14.0
2007,0.0,14823.0,-0.638312816619873,0.0,0.0,0.0
2008,0.0,14842.0,-0.278640478849411,9.0,15.0,19.0
2009,0.0,14870.0,-0.24813342094421387,6.0,12.0,17.0
2010,0.0,14875.0,-0.2851506769657135,7.0,11.0,18.0
2011,0.0,14861.5,-0.2775244414806366,7.0,11.0,9.0
2012,0.0,14842.0,-0.23402239382266998,9.0,14.0,14.0
